Gender,Geo-political,Others,Political,Religion,Violence,id
0.00648011,0.007285783,0.006898041,0.9579841,0.012249145,0.009102792,4204
0.0047441525,0.007913986,0.0047813617,0.954894,0.01934021,0.008326247,6264
0.63017803,0.004887238,0.2753044,0.016598023,0.011363169,0.061669137,5274
0.40044752,0.0085748425,0.522282,0.0109246345,0.0026151794,0.05515574,391
0.26951098,0.039669935,0.5795397,0.020460255,0.005014001,0.08580506,4289
0.306494,0.023086792,0.5770972,0.015259437,0.0038281654,0.07423453,2404
0.6352035,0.0057593253,0.2566454,0.015173802,0.01746494,0.06975304,2513
0.6180669,0.0049454686,0.30122176,0.010886616,0.008612023,0.05626723,504
0.0070854076,0.8994536,0.014709686,0.014767258,0.029569644,0.03441463,449
0.0061554927,0.007338438,0.006375746,0.9573986,0.013669901,0.009061761,2357
0.007933933,0.021651076,0.004520619,0.016535737,0.9314793,0.017879395,7632
0.6306323,0.0052061877,0.27766362,0.013503824,0.011641025,0.061353046,5988
0.3565832,0.013193082,0.55228686,0.009881161,0.0029901322,0.06506558,4377
0.6342737,0.0062182005,0.25626975,0.0129598435,0.017852938,0.07242552,2420
0.29324675,0.029263087,0.5786524,0.015541508,0.0042157476,0.0790806,1273
0.6362813,0.006435894,0.24339929,0.0155599965,0.021434799,0.07688875,4452
0.0067374487,0.0068168677,0.0069242176,0.9578705,0.012513674,0.009137336,7364
0.6155121,0.004773499,0.30470055,0.009129556,0.008183681,0.05770057,1512
0.62705404,0.004939592,0.28708625,0.011306838,0.009671251,0.059941944,1578
0.51942444,0.004821253,0.41736928,0.008137405,0.003236836,0.047010813,2269
0.010676933,0.021441992,0.0057823164,0.017330373,0.92068404,0.024084348,7994
0.11615652,0.16509171,0.10072163,0.044520702,0.18890925,0.38460016,5417
0.26290327,0.07430025,0.21290557,0.02416892,0.056414362,0.36930764,1830
0.007635244,0.022125699,0.0043845517,0.016290586,0.9321208,0.017443147,1260
0.6317824,0.006802533,0.23793145,0.015940413,0.026591092,0.08095209,6756
0.62802696,0.005025164,0.28529412,0.010638272,0.00991596,0.061099578,2776
0.2895648,0.029696682,0.58038497,0.015466736,0.0041628154,0.080723956,6752
0.53593683,0.004529352,0.39827442,0.0065901675,0.0032369818,0.051432297,2940
0.6167657,0.004423756,0.3005876,0.010948902,0.008200348,0.059073716,1766
0.6363596,0.0055922894,0.26116145,0.012701261,0.014849279,0.06933618,31
0.14747271,0.14232607,0.14632508,0.05248042,0.09373935,0.41765627,5607
0.6374556,0.0062493943,0.24384849,0.017120851,0.021390637,0.07393511,5778
